146,고정수익증권론 (제2판),윤평식,38700,탐진출판사
147,스타벅스 주식은 1월에 사라 (100만 원으로 시작하는 10년 연속 이벤트 투자 성공의 법칙),유나기,18000,여의도책방
148,"주식쌩초보 엔비디아, 팔란티어로 2,100% 수익낸 투자여정기",김은유,16200,파워에셋
149,매직 스플릿 (자산과 현금흐름이 동시에 불어나는 새로운 투자 시스템),박성현,15300,경이로움
150,마인드셋은 어떻게 투자의 무기가 되는가 (초수익을 만드는 사고방식의 비밀),마크 미너비니,18900,이레미디어
151,사모펀드 해설 (제4판),박삼철^차태진^김건^이화석,63000,지원출판사
152,"최소한의 투자 공부 (인플레이션, 재무제표, 금리와 투자 원칙까지 주식 투자가 쉬워지는 돈의 기본)",고토 다쓰야,17820,알에이치코리아
153,기술 성장주에 투자하는 습관 (앞으로 10년을 책임질 인공지능·휴머노이드· 양자컴퓨팅),곽재혁,18900,좋은습관연구소
154,월가의 전설 100년 주식투자 비법 (데이비스 투자 가문에게 배우는 주식 불변의 법칙),존 로스차일드,24300,유노북스
155,투자은행 사모펀드 핵심개념 101,안재형,22500,지식과감성
156,"알고사자, 비트코인! - 이더리움과 비트코인, 암호화폐와 스테이블코인",윤부자,16800,부크크(bookk)
157,월가의 늑대 시장을 이겨라 (월가를 뒤흔든 주식 천재의 필승 투자 전략),조던 벨포트,21600,한국경제신문
158,진짜 하루만에 이해하는 해운·조선 산업 (조선업 슈퍼 사이클! 놓치면 10년 후회합니다),김성훈^엄성희,22320,티더블유아이지
159,"AI 텐베거 투자 (뉴사이클에 진입한 AI 혁명 산업, 10배 종목 발굴을 위한 전략서)",이형수,35010,지베르니
160,탑다운 퀄리티 투자 (세상의 변화를 미리 읽고 1%에 집중하는 힘),FundEasy,16650,지음미디어
161,채권투자노트,김형호,19800,이패스코리아
162,스윙투자 전략서 (태쏘의 주식 실전투자),태쏘,31500,가이아의어깨
163,"AI시대, 다시 시작하는 반도체 공부 (미세화 한계에서 인공지능 등장까지, 위기를 넘어 진화하는 반도체 기술들)",정인성,20700,애플씨드
164,"알고사자, 미국채권! - 입문편",윤부자,13800,부크크(bookk)
165,주식 투자 뉴메릭 이론 #39 10배 주식 진행 공식,손태건,16000,부크크(bookk)
166,ETF 투자 7일 완성 (투자로 부자 되는 가장 쉬운 방법),신성호,18000,한국경제신문
167,"주식투자 필독서 40 (가치 투자부터 인덱스 펀드까지, 세계 주식 명저 40권을 한 권에)",차영주,18900,센시오
168,메타 트렌더는 아무도 모를 때 100배 주식을 산다,나카지마 사토시,19800,영림카디널
169,주식 투자 뉴메릭 이론 #38 Trend Movement,손태건,16000,부크크(bookk)
170,배당투자 처음공부 (퇴근 후 1분 투자로 제2의 월급이 따박따박 들어오는),이상규,19800,이레미디어
171,주식 투자 뉴메릭 이론 #37 Time Energy Conversion,손태건,16000,BOOKK(부크크)
172,완벽한 종목 추천 (종목 발굴부터 피칭까지 월가의 실전 투자 수업),폴 손킨^폴 존슨,22500,에프엔미디어
173,물어보기 부끄러워 묻지 못한 주식상식 (주식의 기초 개념부터 실제 사고파는 방법까지 누구나 이해하기 쉬운 주식상식 A to Z),손환락,20700,새로운제안
174,증권시장론,김영빈^정호일,26600,신영사
175,재테크농부의 올라운드 투자 (수익을 최대화하는 리밸런싱 전략),재테크농부,20700,한국경제신문
176,1만 포인트시대 코스피200 선물옵션주가지수 비트코인 최고수익률 전략,김정수,25800,글로벌
177,"월급처럼 들어오는 미국 배당 투자 (커버드콜, 배당 성장주, 월배당 ETF로 매달 수익 만드는 전략)",네이르,19800,밥북
178,월배당 ETF 재무제표 완전정복 (85가지 월배당 ETF를 조합해 나만의 배당 포트폴리오를 만드세요!),고은미,24120,티더블유아이지
179,"한국 주식 슈퍼사이클 (지금, 한국을 사야 하는 결정적 이유)",신동국,18900,매일경제신문사
180,"미국 주식 투자의 정석 (6,000만 뷰 유튜버 ‘미주은’의 투자 교과서)",최철,26100,황금부엉이
181,전략적 가치투자 (투자에 왕도는 없으나 전략은 있다),신진오^이상민,20700,국일증권경제연구소
182,주식 투자 뉴메릭 이론 #36 Time Movement,손태건,15520,부크크(bookk)
183,주식 투자 뉴메릭 이론 #35 Energy Movement,손태건,16000,부크크(bookk)
184,파생상품으로 완성하는 고수의 투자법 (선물·옵션·파생펀드까지 한 권에 담은 실전 투자 가이드),최창규,19800,위너스북
185,허영만의 주식 타짜 ― 슈퍼개미 이세무사,허영만,15120,가디언
186,주식 투자에 대한 생각 (세무사가 기록한 진짜 주식 투자 잘 하는 법),김진산,18900,페스트북
187,소액으로 시작하는 예측 가능한 부동산 투자,퍼스트 클래스,25930,더급매
188,"아들아, 미국주식 이렇게 하지 마라 (이야기로 배우는 미국주식 대가의 탄탄한 투자 지혜서)",이주택,16200,위너스북
189,미국 주식의 절대 법칙 (과거의 주가로 미래의 타이밍을 잡는다),박종식,23436,북오션
190,동학개미 주식선물 옵션은 서학개미를 추월한다 (주식선물부터 시작하라!),OX경제연구소,20700,글로벌
191,주식 투자 뉴메릭 이론 #34 Time Ratio Conversion,손태건,16000,부크크(bookk)
192,주식 투자 뉴메릭 이론 #33 Time Golden Ratio,손태건,16000,부크크(bookk)
193,투자의 전설 앤서니 볼턴 (시류에 거슬러 투자하라!),앤서니 볼턴,19800,부크온
194,무조건 이기는 탑다운 주식투자 (이기는 트레이더들의 사고방식과 매매 원칙),29PER,29700,베가북스
195,켄 피셔 불변의 차트 90 (극심한 변동성에도 살아남는 대가의 투자법),켄 피셔,27000,한국경제신문
196,"차이나 디퍼런트 (변하는 중국, 달라질 투자)",신형관,22500,경이로움
197,주식 투자 뉴메릭 이론 #29 Energy Symmetry,손태건,16000,부크크(bookk)
198,추세에 관한 6가지 트레이딩 시스템 (상대강도지수(RSI) 창시자 와일더가 직접 쓴 8가지 투자 기법),웰스 와일더,20700,이레미디어
199,주식 투자의 기쁨(큰글자도서) (89세 현역 트레이더 시게루 할아버지의 흔들리지 않는 투자 철학),후지모토 시게루,32010,다산북스
200,"한국 주식 시장, 대세 상승기가 온다 (흔들려도 잃지 않는 주식 투자 전략)",김태영,18720,두드림미디어
201,수민이의 미국 주식 투자 스토리 (미국 주식 투자의 대가가 들려주는  짧지만 강력한 투자의 지혜),이주택,16200,월요일의 꿈
202,주식 투자 뉴메릭 이론 #32. Time Addition Drop,손태건,16000,부크크(bookk)
203,알트코인 실전 투자 바이블 (압도적 수익을 현실로 만드는),박종한,22500,헤리티지북스
204,주식 투자 뉴메릭 이론 #31 Time Addition Rally,손태건,16000,부크크(bookk)
205,손실 없는 투자 원칙 (대한민국 최상위 슈퍼개미의 저점매수 고점매도),남석관,5400,모루
206,주린이도 술술 읽는 친절한 금융책 (주식 초보자를 위한 최소한의 금융 공부),최정희,17100,메이트북스
207,월 300만 원 버는 주식 투자 공식(큰글자도서) (미국 ETF 투자로 평생 월급 받는 법),진서빈,40000,이든하우스
208,"종목탐색기 활용, 주식 투자로 100억 원 벌기 (검색기 활용하기)",최익수,24300,두드림미디어
